"Sn","Order","Material","Quantity","Type Kg/Ltr","Stock on","Action"
"1","Universal","Capsicum","0","KG","2026-02-13 22:13:33","Send Stock"
"2","Universal","Green Chilli","0","KG","2026-02-13 22:13:33","Send Stock"
"3","Universal","Beans","0","KG","2026-02-13 22:13:33","Send Stock"
"4","Universal","Pumpkin","0","KG","2026-02-13 22:13:33","Send Stock"
"5","Universal","Brinjal","0","KG","2026-02-13 22:09:25","Send Stock"
"6","Universal","Tomato","0","KG","2026-02-13 22:13:33","Send Stock"
"7","Universal","Cabbage","0","KG","2026-02-13 22:09:25","Send Stock"
"8","Universal","Flower Pot","0","QTY","2026-02-02 23:42:33","Send Stock"
"9","Universal","Dry Ginger Whole / Sonth","1","KG","2026-02-02 19:47:15","Send Stock"
"10","Universal","Shrikhand","0","KG","2026-01-31 19:37:40","Send Stock"
